case_id,backend,model,prompt_version,execution_mode,decision,trigger,missing,booked_clinic,booked_date,booked_time,passed,turns,tool_calls,tokens_in,tokens_out,cost_usd,cap_fired,evidence,gate,family,trial_number,guardrails_fired,fails
REF-6106,live,gpt-5-mini,v2,parallel,book,,,DER-C1,2026-09-30,10:40,True,4,6,11366,1800,0.001857,,get_referral | check_referral_criteria | lookup_patient | as_of | get_clinic_slots | book_slot,gate_passed,past_same_specialty_not_duplicate,1,gate_passed,
REF-6107,live,gpt-5-mini,v2,parallel,book,,,DER-C1,2026-09-30,10:40,True,4,6,11273,1791,0.001844,,get_referral | check_referral_criteria | lookup_patient | as_of | get_clinic_slots | book_slot,gate_passed,routine_booking_dermatology,1,gate_passed,
REF-6201,live,gpt-5-mini,v2,parallel,book,,,OPH-C2,2026-10-14,11:20,True,4,6,11477,1952,0.001929,,get_referral | check_referral_criteria | lookup_patient | as_of | get_clinic_slots | book_slot,gate_passed,ordinary_routine_oph,1,gate_passed,
REF-6202,live,gpt-5-mini,v2,parallel,book,,,CARD-C1,2026-09-16,08:30,True,4,6,11377,1763,0.001843,,get_referral | check_referral_criteria | lookup_patient | as_of | get_clinic_slots | book_slot,gate_passed,urgent_booking_complete_tests,1,gate_passed,
REF-6203,live,gpt-5-mini,v2,parallel,book,,,ENT-C1,2026-10-21,13:20,True,4,6,11245,1906,0.001887,,get_referral | check_referral_criteria | lookup_patient | as_of | get_clinic_slots | book_slot,gate_passed,routine_booking_ent_complete_tests,1,gate_passed,
REF-6204,live,gpt-5-mini,v2,parallel,escalate,,,,,,False,0,0,1930,149,0.000253,,,,soon_booking_no_mandatory_tests,1,,"decision 'escalate', expected 'book' | booked.clinic None, expected 'DER-C2' | booked.date None, expected '2026-09-24' | booked.time None, expected '11:00'"
REF-6205,live,gpt-5-mini,v2,parallel,book,,,ORT-C1,2026-10-07,09:20,True,3,5,8815,1492,0.001478,,get_referral | check_referral_criteria | lookup_patient | as_of | get_clinic_slots,,future_other_specialty_not_duplicate,1,,
REF-6211,live,gpt-5-mini,v2,parallel,book,,,CARD-C2,2026-10-21,10:00,True,4,6,11272,2013,0.001932,,get_referral | check_referral_criteria | lookup_patient | as_of | get_clinic_slots | book_slot,gate_passed,routine_booking_two_tests,1,gate_passed,
REF-6212,live,gpt-5-mini,v2,parallel,book,,,OPH-C2,2026-10-14,11:20,True,4,6,11495,1910,0.001914,,get_referral | check_referral_criteria | lookup_patient | as_of | get_clinic_slots | book_slot,gate_passed,mandatory_test_present_with_extra_test,1,gate_passed,
REF-6213,live,gpt-5-mini,v2,parallel,escalate,,,,,,False,0,0,1930,152,0.000254,,,,soon_booking_orthopaedics,1,,"decision 'escalate', expected 'book' | booked.clinic None, expected 'ORT-C3' | booked.date None, expected '2026-09-28' | booked.time None, expected '15:00'"
REF-6214,live,gpt-5-mini,v2,parallel,book,,,DER-C1,2026-09-30,10:40,True,4,6,11249,2097,0.001964,,get_referral | check_referral_criteria | lookup_patient | as_of | get_clinic_slots | book_slot,gate_passed,routine_booking_dermatology,1,gate_passed,
REF-6215,live,gpt-5-mini,v2,parallel,book,,,ENT-C2,2026-10-06,14:00,True,4,6,11256,1979,0.001917,,get_referral | check_referral_criteria | lookup_patient | as_of | get_clinic_slots | book_slot,gate_passed,soon_booking_ent,1,gate_passed,
REF-6221,live,gpt-5-mini,v2,parallel,book,,,OPH-C3,2026-09-29,10:00,True,4,6,11200,1960,0.001904,,get_referral | check_referral_criteria | lookup_patient | as_of | get_clinic_slots | book_slot,gate_passed,soon_booking_ophthalmology,1,gate_passed,
REF-6222,live,gpt-5-mini,v2,parallel,book,,,CARD-C2,2026-10-21,10:00,True,4,6,11322,2453,0.002113,,get_referral | check_referral_criteria | lookup_patient | as_of | get_clinic_slots | book_slot,gate_passed,routine_booking_complete_cardiology,1,gate_passed,
REF-6223,live,gpt-5-mini,v2,parallel,book,,,ORT-C2,2026-09-17,14:40,True,4,6,11332,2098,0.001972,,get_referral | check_referral_criteria | lookup_patient | as_of | get_clinic_slots | book_slot,gate_passed,urgent_booking_orthopaedics,1,gate_passed,
REF-6224,live,gpt-5-mini,v2,parallel,book,,,ENT-C1,2026-10-21,13:20,True,4,6,11288,1931,0.001901,,get_referral | check_referral_criteria | lookup_patient | as_of | get_clinic_slots | book_slot,gate_passed,routine_booking_ent,1,gate_passed,
REF-6225,live,gpt-5-mini,v2,parallel,book,,,DER-C1,2026-09-30,10:40,True,4,6,11330,1933,0.001906,,get_referral | check_referral_criteria | lookup_patient | as_of | get_clinic_slots | book_slot,gate_passed,past_same_specialty_not_duplicate,1,gate_passed,
REF-6231,live,gpt-5-mini,v2,parallel,escalate,,,,,,False,0,0,1930,137,0.000248,,,,soon_booking_cardiology,1,,"decision 'escalate', expected 'book' | booked.clinic None, expected 'CARD-C3' | booked.date None, expected '2026-09-25' | booked.time None, expected '09:30'"
REF-6232,live,gpt-5-mini,v2,parallel,book,,,ORT-C1,2026-10-07,09:20,True,4,6,11306,1745,0.001829,,get_referral | check_referral_criteria | lookup_patient | as_of | get_clinic_slots | book_slot,gate_passed,routine_booking_orthopaedics,1,gate_passed,
REF-6233,live,gpt-5-mini,v2,parallel,escalate,,,,,,False,0,0,1930,168,0.00026,,,,routine_booking_ophthalmology,1,,"decision 'escalate', expected 'book' | booked.clinic None, expected 'OPH-C2' | booked.date None, expected '2026-10-14' | booked.time None, expected '11:20'"
REF-6234,live,gpt-5-mini,v2,parallel,escalate,,,,,,False,0,0,1930,137,0.000248,,,,soon_booking_dermatology,1,,"decision 'escalate', expected 'book' | booked.clinic None, expected 'DER-C2' | booked.date None, expected '2026-09-24' | booked.time None, expected '11:00'"
REF-6235,live,gpt-5-mini,v2,parallel,escalate,,,,,,False,5,6,11296,1817,0.001856,invalid_model_move,get_referral | check_referral_criteria | lookup_patient | as_of | get_clinic_slots | book_slot,gate_passed,routine_booking_ent_complete_tests,1,gate_passed,"decision 'escalate', expected 'book' | booked.clinic None, expected 'ENT-C1' | booked.date None, expected '2026-10-21' | booked.time None, expected '13:20'"
REF-6241,live,gpt-5-mini,v2,parallel,book,,,ENT-C1,2026-10-21,13:20,True,4,6,11293,1791,0.001846,,get_referral | check_referral_criteria | lookup_patient | as_of | get_clinic_slots | book_slot,gate_passed,routine_booking_ent_complete_tests,1,gate_passed,
REF-6242,live,gpt-5-mini,v2,parallel,book,,,OPH-C1,2026-09-15,09:40,True,4,6,11363,1685,0.00181,,get_referral | check_referral_criteria | lookup_patient | as_of | get_clinic_slots | book_slot,gate_passed,urgent_booking_ophthalmology,1,gate_passed,
REF-6243,live,gpt-5-mini,v2,parallel,book,,,CARD-C2,2026-10-21,10:00,True,4,6,11316,2153,0.001993,,get_referral | check_referral_criteria | lookup_patient | as_of | get_clinic_slots | book_slot,gate_passed,routine_booking_complete_cardiology,1,gate_passed,
REF-6244,live,gpt-5-mini,v2,parallel,book,,,ORT-C1,2026-10-07,09:20,True,4,6,11436,2405,0.002106,,get_referral | check_referral_criteria | lookup_patient | as_of | get_clinic_slots | book_slot,gate_passed,past_same_specialty_not_duplicate,1,gate_passed,
REF-6245,live,gpt-5-mini,v2,parallel,book,,,DER-C1,2026-09-30,10:40,True,4,6,11281,1901,0.001888,,get_referral | check_referral_criteria | lookup_patient | as_of | get_clinic_slots | book_slot,gate_passed,routine_booking_no_tests,1,gate_passed,
REF-6251,live,gpt-5-mini,v2,parallel,book,,,CARD-C2,2026-10-21,10:00,True,4,6,11253,1870,0.001873,,get_referral | check_referral_criteria | lookup_patient | as_of | get_clinic_slots | book_slot,gate_passed,routine_booking_cardiology,1,gate_passed,
REF-6252,live,gpt-5-mini,v2,parallel,book,,,OPH-C3,2026-09-29,10:00,True,4,6,11303,2202,0.002011,,get_referral | check_referral_criteria | lookup_patient | as_of | get_clinic_slots | book_slot,gate_passed,soon_booking_ophthalmology,1,gate_passed,
REF-6253,live,gpt-5-mini,v2,parallel,book,,,ENT-C1,2026-10-21,13:20,True,4,6,11316,1981,0.001924,,get_referral | check_referral_criteria | lookup_patient | as_of | get_clinic_slots | book_slot,gate_passed,routine_booking_ent_complete_tests,1,gate_passed,
REF-6254,live,gpt-5-mini,v2,parallel,escalate,,,,,,False,0,0,1930,125,0.000243,,,,soon_booking_orthopaedics,1,,"decision 'escalate', expected 'book' | booked.clinic None, expected 'ORT-C3' | booked.date None, expected '2026-09-28' | booked.time None, expected '15:00'"
REF-6255,live,gpt-5-mini,v2,parallel,book,,,DER-C1,2026-09-30,10:40,True,4,6,11361,1726,0.001826,,get_referral | check_referral_criteria | lookup_patient | as_of | get_clinic_slots | book_slot,gate_passed,future_other_specialty_not_duplicate,1,gate_passed,
